,columns,missing values count
0,Sensor-1,0
1,Sensor-2,0
2,Sensor-3,0
3,Sensor-4,0
4,Sensor-5,0
5,Sensor-6,0
6,Sensor-7,0
7,Sensor-8,0
8,Sensor-9,0
9,Sensor-10,0
10,Sensor-11,0
11,Sensor-12,0
12,Sensor-13,0
13,Sensor-14,0
14,Sensor-15,0
15,Sensor-16,0
16,Sensor-17,0
17,Sensor-18,0
18,Sensor-19,0
19,Sensor-20,0
20,Sensor-21,0
21,Sensor-22,0
22,Sensor-23,0
23,Sensor-24,0
24,Sensor-25,0
25,Sensor-26,0
26,Sensor-27,0
27,Sensor-28,0
28,Sensor-29,0
29,Sensor-30,0
30,Sensor-31,0
31,Sensor-32,0
32,Sensor-33,0
33,Sensor-34,0
34,Sensor-35,0
35,Sensor-36,0
36,Sensor-37,0
37,Sensor-38,0
38,Sensor-39,0
39,Sensor-40,0
40,Sensor-41,0
41,Sensor-42,0
42,Sensor-43,0
43,Sensor-44,0
44,Sensor-45,0
45,Sensor-46,0
46,Sensor-47,0
47,Sensor-48,0
48,Sensor-49,0
49,Sensor-50,0
50,Sensor-51,0
51,Sensor-52,0
52,Sensor-53,0
53,Sensor-54,0
54,Sensor-55,0
55,Sensor-56,0
56,Sensor-57,0
57,Sensor-58,0
58,Sensor-59,0
59,Sensor-60,0
60,Sensor-61,0
61,Sensor-62,0
62,Sensor-63,0
63,Sensor-64,0
64,Sensor-65,0
65,Sensor-66,0
66,Sensor-67,0
67,Sensor-68,0
68,Sensor-69,0
69,Sensor-70,0
70,Sensor-71,0
71,Sensor-72,0
72,Sensor-73,69
73,Sensor-74,69
74,Sensor-75,0
75,Sensor-76,0
76,Sensor-77,0
77,Sensor-78,0
78,Sensor-79,0
79,Sensor-80,0
80,Sensor-81,0
81,Sensor-82,0
82,Sensor-83,0
83,Sensor-84,0
84,Sensor-85,0
85,Sensor-86,69
86,Sensor-87,0
87,Sensor-88,0
88,Sensor-89,0
89,Sensor-90,9
90,Sensor-91,9
91,Sensor-92,0
92,Sensor-93,0
93,Sensor-94,0
94,Sensor-95,0
95,Sensor-96,0
96,Sensor-97,0
97,Sensor-98,0
98,Sensor-99,0
99,Sensor-100,0
100,Sensor-101,0
101,Sensor-102,0
102,Sensor-103,0
103,Sensor-104,0
104,Sensor-105,0
105,Sensor-106,0
106,Sensor-107,0
107,Sensor-108,0
108,Sensor-109,0
109,Sensor-110,17
110,Sensor-111,17
111,Sensor-112,17
112,Sensor-113,94
113,Sensor-114,0
114,Sensor-115,0
115,Sensor-116,0
116,Sensor-117,0
117,Sensor-118,0
118,Sensor-119,0
119,Sensor-120,0
120,Sensor-121,0
121,Sensor-122,0
122,Sensor-123,0
123,Sensor-124,0
124,Sensor-125,0
125,Sensor-126,0
126,Sensor-127,0
127,Sensor-128,0
128,Sensor-129,0
129,Sensor-130,0
130,Sensor-131,0
131,Sensor-132,0
132,Sensor-133,0
133,Sensor-134,0
134,Sensor-135,0
135,Sensor-136,0
136,Sensor-137,0
137,Sensor-138,0
138,Sensor-139,0
139,Sensor-140,0
140,Sensor-141,0
141,Sensor-142,0
142,Sensor-143,0
143,Sensor-144,0
144,Sensor-145,0
145,Sensor-146,0
146,Sensor-147,0
147,Sensor-148,0
148,Sensor-149,0
149,Sensor-150,0
150,Sensor-151,0
151,Sensor-152,0
